agent0
actions UP DOWN LEFT RIGHT PRESS NOTHING
01040000 4265.331361277584 4126.767970089401 3857.1831306527324 4801.48757793401 4372.079923728835 4228.30063839044
01030000 3790.7248226392776 3534.868943989185 2814.0236773448078 4233.226668955087 3720.6959476374586 4046.4011624406508
02030000 3528.3442885475224 2807.2575822892336 2809.6548028452203 4114.852473829388 3618.2458504705014 3659.6279026150514
02020000 3248.5546118249663 2170.1974224483897 2139.7349827353682 3609.8853359451 3026.3704596203497 2344.368597797514
03020000 2601.425623613063 1723.4186507694224 1615.0755663745986 2809.5340328212765 2208.855170258775 2085.088859036178
03030000 3409.701498302643 2403.2877326824077 2277.385634167043 3431.262820435621 2645.580341586408 2774.5317746299347
01020000 3175.5893870387863 3137.886730710462 2045.1429685899438 3807.652630875027 3087.4988044434544 2865.6514165383833
01010000 2407.051625045505 1908.2747453553256 2180.8937374828256 3285.924118249603 2039.8166501614655 2158.4191886306194
02010000 2599.1857484080983 1614.7536126731436 1969.3035157668128 2694.9280494859554 2068.8198250170567 1932.31685996259
02040000 4348.837188296537 3118.7567949156883 3734.324335646272 4427.284064921734 3786.0312292008202 3980.655931071741
02050000 4352.47931733226 4070.3819152271453 4051.234250808072 5009.952732040868 4559.273136438016 4422.235615709322
03050000 4570.101189682311 2759.2594685761305 3624.0149178405263 4168.109466022367 4171.1611939887025 4062.9232160917086
03040000 4068.1415459643686 2647.982835267198 2680.900225870831 4016.241607599086 3496.6942155080837 3645.603789838819
01050000 4288.943108643441 4892.880669007895 4194.557817503463 4118.990267782423 4562.666047484572 4345.479447584825
01060000 4068.3596083596412 4695.912816631291 4387.707796105135 4091.9267082228143 3929.8307822456554 4055.2709864432845
01070000 4381.375040356228 4741.888128218213 3928.774173636959 3714.042643199948 4110.89152767498 4182.675551529844
02070000 4207.674719361566 5215.750129710553 4610.698212976574 4351.451564202701 4486.274840437659 4449.7607249391
01080000 3818.3450326282973 4064.249885712363 4310.041492930513 3631.0005347799347 3781.75795391925 3708.0718306529366
02080000 3759.2518699919565 4870.52912280516 4542.640272171424 4040.1327991198664 4081.414484899497 4338.115598633137
03080000 4222.520275655234 4407.277179060105 4593.184528703479 4840.092436606745 5423.493118396057 4694.963613284643
03070000 4682.973338258539 4042.4930933630717 4184.6004566079955 5327.2935462914475 4672.190399151865 4753.406537914314
03060000 4475.0940269244975 3769.002628570624 3825.6985703649484 4680.17931148828 4148.512833939623 3978.9097987988243
02060000 3861.677549252334 4361.632450894605 4517.728238591407 5114.804147920565 4443.736552479489 4625.92353113131
04030000 2981.9490407614476 2350.880286454243 1871.6668597903058 3004.0647114002736 2270.68044720814 2138.4454041403815
04040000 3357.8243687812037 2656.974528661121 2294.2495078010593 3011.3578201957216 2968.786030547152 2944.4976382366417
04050000 3611.2041077658314 2862.5013116251766 2615.12677464953 3578.8197816031684 2902.880222554934 3023.2731519237705
04060000 4227.6226272798085 3667.9112023634425 2998.0618164591906 4256.692399424132 3787.685832745388 3724.7622007633713
04070000 4687.949154682965 4003.6083044393417 3335.6230496050375 4609.490903298514 3891.1619879972736 3961.310909945339
04080000 5084.887036816014 4324.313454540244 3889.598731914233 4435.019549377928 4308.113287588407 4420.329197230604
03080100 2855.579892577524 4591.448621054469 4408.880243524857 5513.360649872181 5039.285446734696 5047.68272771875
04080100 4826.180219366572 4301.872409740744 3894.2316780157516 4210.09114464924 4502.2660393061415 4077.749676517491
04070100 4314.873794857693 4000.5386663905792 4173.444271520484 4415.810567494321 3774.569843838701 3949.4187452816036
03070100 4165.672230388698 4030.8650379384644 4144.885867547656 4813.955186051174 4399.624032422112 4234.605280697105
02070100 4093.5747841476177 4388.0669551228875 3308.2921547493897 4457.538538653354 3101.5031973061864 3181.9064109690207
04060100 4213.056328517324 4212.788256828909 4248.598999288429 3887.5263224119226 4218.898433056565 4236.556312090921
04050100 4565.900373970952 3962.5108171864363 4118.918528162096 3101.446018558653 4232.0635760493815 4129.094895247917
04040100 5052.517619090849 4473.101072936057 4737.337814503702 4061.455809987544 4431.635013782335 4524.939597613887
03040100 5406.131127588689 4283.293585164644 5133.482767803645 4564.441021233135 5001.337696811625 5015.323282484454
03050100 1317.369485089476 3980.16200581025 5056.0678756788575 4249.801908001782 4606.389744497152 4654.196005974274
04030100 5084.809437796583 4538.8849531551095 4443.350602389889 4541.8814909875755 4605.137428838361 4647.088452251982
03030100 5505.191020040988 4529.055703853357 4594.513029289695 4998.166032912779 4937.314166889449 4871.063899732616
02040100 4798.396484902199 5110.2929124717275 5607.934808424488 5207.333313256358 5266.970767576481 5248.407647976161
01040100 4942.649398171165 4628.575105263381 5211.501985899549 4636.91898023123 4787.739727671478 4747.77640119294
02050100 4895.70833827979 4587.3727104628915 5436.684802302592 4081.8398696658414 5160.530205854538 5147.339190668339
01030100 5171.461473992414 5621.409868481089 5084.121510776098 4865.305076257808 4998.537701776708 5274.867717730937
01020100 4922.705729787984 5189.21896329237 5074.235817855275 5189.89182557626 4854.081859274412 5023.791075944421
02020100 4920.821964625044 4714.422954432075 5144.336218047481 5528.451971634232 5002.46865835036 5185.430968973778
02030100 5224.154606303565 5800.939335798905 5150.372875489655 4866.6199622989225 5294.870666850325 5585.2882511396665
03010000 1856.0627938354805 1008.057370422705 1507.4442649753325 2202.0562075648045 863.5033469925627 1535.3512076305365
04010000 1582.5306487697953 1213.7387246891508 1117.8106648351068 1638.0302073270443 1085.305385403549 1062.3313350556932
04020000 2288.356111173926 1458.333681898945 897.665909058777 2524.5466379750396 1569.2870958451117 1632.6669042757035
02080100 3946.2152620165466 4925.1836849017345 3247.4117557397253 4614.583496074618 4304.579445721128 4474.037990016174
03060100 4084.039150539296 4235.577819845684 4466.267519035264 4195.982315709993 4182.698129497261 4181.179203039382
01050100 1351.1509582349197 5168.134401565704 4843.139681831854 4032.3492946973583 4692.321246464058 4862.996751319454
