agent0
actions UP DOWN LEFT RIGHT PRESS NOTHING
0108100 30922.984221687555 31056.08037950505 31167.45304265229 30605.67678613342 30859.05567214908 30918.373702027835
0208100 30911.65373010991 31026.646238237758 31319.35950845595 30944.561055738577 31113.062086738093 31099.727416460868
0209100 30609.27290892186 30888.01413658734 31085.39353326759 30563.91784319235 30901.652354320835 30910.387610536287
0109100 30553.292021908255 30867.654674775174 30894.91598660551 30293.33807998781 30561.245199923014 30542.286580587956
0207100 31099.60089831165 31423.80177841855 31636.297767049004 31101.359582209803 31440.143421164066 31374.237602873174
0307100 31294.169295762036 31444.718025178492 31697.588635002645 31530.60270757588 31391.548308386034 31419.647113494128
0407100 31520.74113896232 31662.94303577982 31810.384763026334 31593.626226363795 31485.997009390663 31435.597066449005
0210100 30206.35019771332 30530.797180754664 30813.792816272595 30557.0781910979 30534.28766950086 30448.732925136872
0110100 30250.621695837785 30619.88413417766 30408.832330668934 30208.58265524408 30384.999620178736 30268.897288929846
0507100 31474.624396195344 31685.824936051875 31927.709958006748 31667.68013907591 31659.084054269384 31532.933828307963
0506100 31819.645539371955 31924.54083014649 32197.681730589484 31646.74931428872 31932.10081470805 31878.923040065536
0406100 31705.846708360456 32104.38861385925 31735.249660281002 31465.97498791174 31808.301518260643 31851.06140772987
0405100 31740.85274433566 32015.122487187422 31779.64633787418 31709.934336814153 31717.387965744852 31716.688425198303
0404100 31910.842118911387 32089.755942370506 31800.17492110273 31677.325338545917 31858.676412451732 31910.217843512528
0504100 31903.18655012527 32405.070693279962 32124.30285481042 32012.03400408954 32094.823753234912 32119.075072451124
0604100 32170.067493370763 32508.59969782445 32200.837153058066 31818.542472213594 32126.928568811018 32182.154078581447
0605100 31936.417266107448 31961.587291314343 32125.69860468735 31955.9671043383 31958.486881063356 31830.1022107888
0704100 32309.796168204033 32614.548624892454 32234.68522992128 32041.11447948021 32340.054312918037 32302.04042036086
0705100 31930.738207363756 32130.636548207895 32245.525965397355 31705.385908414602 32021.42046904325 31989.45241308467
0505100 31670.226889252357 31936.024190080458 32305.101705190107 31944.77736383188 32056.639171347735 31983.844139455665
0804100 32396.76279255819 32163.845783869983 32722.211594132772 32048.054631372397 32435.192922713013 32377.59517820694
0805100 31890.736767526974 31887.696479631795 32375.432826055676 31726.799463365023 31997.93955861163 32156.464440526186
0905100 32101.55589819954 31409.325570640638 32066.87272790019 31924.202458908854 31937.51319074986 31883.073829740504
0904100 32459.327766908133 31862.27064905412 32071.279150942097 31854.54773630536 32129.88547056973 32053.331841095947
0803100 32200.034970263518 32621.15905332504 32814.273100178856 32366.940086387986 32579.30439905839 32408.81612208177
1004100 32120.861704873292 31641.79916541117 31863.553809397534 31679.54667434363 31869.496412382647 31902.11672091041
1104100 31788.92540399461 31501.000638706228 31542.230533087786 31324.585635647993 31576.86902325983 31548.468185139962
1105100 31610.55945453051 31119.66748368168 31593.248430867978 31198.781848585764 31320.686741250167 31358.21992094058
1005100 31872.27967780467 31410.33935960097 31880.775980013175 31505.360613190187 31550.780279305032 31615.195091119655
0802100 32340.26132564991 32902.2529177433 32301.561179921417 32448.00599018157 32672.367490347213 32555.047566961737
0702100 32438.526522086922 32660.18005147327 32057.912547453925 32232.77117694267 32307.21351035709 32364.38577352272
0701100 31942.357624548564 32383.542052256933 32065.336176787296 32398.23428448471 32002.70069090736 31991.777700182865
0902100 32630.85286201753 33010.05095531759 32736.37636520411 32696.578192812703 32708.953668057315 32672.035382418348
1002100 32651.520893942845 32765.0206908259 33111.5993554981 32710.286258103395 32895.304390934456 32847.062086938735
1001100 32900.99692288159 33217.793477102634 32784.51203595979 32820.64721606325 32940.05161057637 32949.03909849561
1101100 32956.287494282275 32974.75366807749 32849.00147572957 32624.237389659636 33327.90145989566 32986.71744947537
0801100 31913.405322889215 32345.70078893208 32253.349361758817 32627.886375653918 32260.341783669202 32275.59602755039
0206100 31310.435393147436 31912.41026762052 31573.972379405066 31398.946363447336 31703.18081342465 31629.938056601262
0205100 31334.079796260045 31609.128144722858 31490.4938665659 31818.04410576795 31506.383481190405 31600.02257347283
0105100 31259.319383065904 31546.313948636263 31039.420651762033 31428.049605366472 31215.181765594767 31246.606871857275
0106100 31290.700312400466 31633.070096687927 31113.196291031792 31060.951519915492 31338.529217306772 31417.410457756734
0706100 31769.827706479082 31829.20840496501 32002.38819318855 31391.10269316684 31823.70687308932 31723.843408180248
0806100 31791.18036481281 31747.059611638124 32060.15001922162 31532.685354368437 31739.551804727726 31808.13044142785
0707100 31416.38886270769 31406.400009144352 31707.782344387044 31178.550037569144 31375.15444419807 31447.20471850697
0807100 31381.584820956836 31408.22900104697 31681.1900596587 30891.269849131437 31417.430329222516 31345.23661384086
0808100 30920.019546167638 31168.23774588093 31438.195868956424 30655.02072949805 31042.855277497656 31154.067651140525
0708100 31095.737974866814 31133.523444152877 31424.517420168264 30786.086256258128 31135.197070449936 31151.349867769055
0809100 30760.73197102059 30360.29344068959 31008.063578355614 30321.429338642836 30756.29844485854 30685.211144063425
0709100 30741.89453252651 30679.53214308172 31142.005040660362 30526.855318995407 30830.303441503518 30772.43383018441
0703100 32123.89551062209 32509.996464848944 32368.225124156153 32238.39143301219 32317.57312663343 32279.342835005766
1102100 32811.38096969642 32766.21009604156 33058.557292655416 32789.44695295129 32577.803113371065 32821.66496150571
0306100 31654.373461362014 32001.527838588012 31732.93949801462 31387.92024923992 31811.449993292365 31746.41926437346
0204100 31000.077303516508 31395.15697903447 31366.294355638125 31724.039337263646 31419.910278701722 31380.78266699533
0104100 31146.925892442003 31428.056572139434 31035.640354221356 31287.34150194079 31130.016696168917 31060.55371107351
