<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Up)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Up)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Up)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Up)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Up)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Up)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Up)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Up)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Up)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Up)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Up)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Up)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Up)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Up)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Up)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Up)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Down)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Down)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Down)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Down)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Down)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Down)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Down)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Down)>
<(4, 0, 1), (4, 0, 15), , [0, 0, 0], (Nothing, Down)>
<(4, 0, 1), (4, 0, 15), , [0, 0, 0], (Nothing, Down)>
<(4, 0, 1), (4, 0, 15), , [0, 0, 0], (Nothing, Down)>
<(4, 0, 1), (4, 0, 15), , [0, 0, 0], (Nothing, Down)>
<(4, 0, 1), (4, 0, 15), , [0, 0, 0], (Nothing, Down)>
<(4, 0, 1), (4, 0, 15), , [0, 0, 0], (Nothing, Down)>
<(4, 0, 1), (4, 0, 15), , [0, 0, 0], (Nothing, Down)>
<(4, 0, 1), (4, 0, 15), , [0, 0, 0], (Right, Down)>
<(4, 0, 1), (4, 0, 15), , [0, 0, 0], (Right, Down)>
<(4, 0, 1), (4, 0, 15), , [0, 0, 0], (Right, Down)>
<(4, 0, 1), (4, 0, 15), , [0, 0, 0], (Right, Down)>
<(4, 0, 1), (4, 0, 15), , [0, 0, 0], (Right, Down)>
<(5, 0, 1), (4, 0, 15), , [0, 0, 0], (Right, Down)>
<(5, 0, 1), (4, 0, 15), , [0, 0, 0], (Right, Down)>
<(5, 0, 1), (4, 0, 15), , [0, 0, 0], (Right, Down)>
<(5, 0, 1), (4, 0, 15), , [0, 0, 0], (Right, Nothing)>
<(5, 0, 1), (4, 0, 15), , [0, 0, 0], (Right, Nothing)>
<(5, 0, 1), (4, 0, 15), , [0, 0, 0], (Right, Right)>
<(5, 0, 1), (4, 0, 15), , [0, 0, 0], (Right, Right)>
<(5, 0, 1), (4, 0, 15), , [0, 0, 0], (Right, Right)>
<(5, 0, 1), (4, 0, 15), , [0, 0, 0], (Right, Right)>
<(5, 0, 1), (4, 0, 15), , [0, 0, 0], (Right, Right)>
<(5, 0, 1), (5, 0, 15), , [0, 0, 0], (Right, Right)>
<(5, 0, 1), (5, 0, 15), , [0, 0, 0], (Right, Right)>
<(6, 0, 1), (5, 0, 15), , [0, 0, 0], (Right, Right)>
<(6, 0, 1), (5, 0, 15), , [0, 0, 0], (Right, Right)>
<(6, 0, 1), (5, 0, 15), , [0, 0, 0], (Right, Right)>
<(6, 0, 1), (5, 0, 15), , [0, 0, 0], (Right, Right)>
<(6, 0, 1), (5, 0, 15), , [0, 0, 0], (Right, Right)>
<(6, 0, 1), (5, 0, 15), , [0, 0, 0], (Right, Right)>
<(6, 0, 1), (5, 0, 15), , [0, 0, 0], (Right, Right)>
<(6, 0, 1), (5, 0, 15), , [0, 0, 0], (Right, Right)>
<(6, 0, 1), (5, 0, 15), , [0, 0, 0], (Right, Right)>
<(6, 0, 1), (5, 0, 15), , [0, 0, 0], (Right, Right)>
<(6, 0, 1), (6, 0, 15), , [0, 0, 0], (Right, Right)>
<(7, 0, 1), (6, 0, 15), , [0, 0, 0], (Right, Right)>
<(7, 0, 1), (6, 0, 15), , [0, 0, 0], (Right, Right)>
<(7, 0, 1), (6, 0, 15), , [0, 0, 0], (Right, Right)>
<(7, 0, 1), (6, 0, 15), , [0, 0, 0], (Right, Nothing)>
<(7, 0, 1), (6, 0, 15), , [0, 0, 0], (Right, Nothing)>
<(7, 0, 1), (6, 0, 15), , [0, 0, 0], (Right, Nothing)>
<(7, 0, 1), (6, 0, 15), , [0, 0, 0], (Right, Nothing)>
<(7, 0, 1), (6, 0, 15), , [0, 0, 0], (Right, Nothing)>
<(7, 0, 1), (6, 0, 15), , [0, 0, 0], (Right, Nothing)>
<(7, 0, 1), (6, 0, 15), , [0, 0, 0], (Right, Nothing)>
<(7, 0, 1), (6, 0, 15), , [0, 0, 0], (Right, Nothing)>
<(8, 0, 1), (6, 0, 15), , [0, 0, 0], (Right, Nothing)>
<(8, 0, 1), (6, 0, 15), , [0, 0, 0], (Right, Nothing)>
<(8, 0, 1), (6, 0, 15), , [0, 0, 0], (Right, Nothing)>
<(8, 0, 1), (6, 0, 15), , [0, 0, 0], (Right, Nothing)>
<(8, 0, 1), (6, 0, 15), , [0, 0, 0], (Right, Nothing)>
<(8, 0, 1), (6, 0, 15), , [0, 0, 0], (Right, Nothing)>
<(8, 0, 1), (6, 0, 15), , [0, 0, 0], (Right, Nothing)>
<(8, 0, 1), (6, 0, 15), , [0, 0, 0], (Up, Nothing)>
<(8, 0, 1), (6, 0, 15), , [0, 0, 0], (Up, Nothing)>
<(8, 0, 1), (6, 0, 15), , [0, 0, 0], (Up, Nothing)>
<(8, 0, 1), (6, 0, 15), , [0, 0, 0], (Up, Nothing)>
<(8, 0, 2), (6, 0, 15), , [0, 0, 0], (Up, Nothing)>
<(8, 0, 2), (6, 0, 15), , [0, 0, 0], (Up, Nothing)>
<(8, 0, 2), (6, 0, 15), , [0, 0, 0], (Up, Nothing)>
<(8, 0, 2), (6, 0, 15), , [0, 0, 0], (Up, Nothing)>
<(8, 0, 2), (6, 0, 15), , [0, 0, 0], (Up, Nothing)>
<(8, 0, 2), (6, 0, 15), , [0, 0, 0], (Up, Nothing)>
<(8, 0, 2), (6, 0, 15), , [0, 0, 0], (Up, Nothing)>
<(8, 0, 2), (6, 0, 15), , [0, 0, 0], (Up, Nothing)>
<(8, 0, 2), (6, 0, 15), , [0, 0, 0], (Up, Nothing)>
<(8, 0, 2), (6, 0, 15), , [0, 0, 0], (Up, Nothing)>
<(8, 0, 2), (6, 0, 15), , [0, 0, 0], (Up, Nothing)>
<(8, 0, 3), (6, 0, 15), , [0, 0, 0], (Up, Nothing)>
<(8, 0, 3), (6, 0, 15), , [0, 0, 0], (Up, Nothing)>
<(8, 0, 3), (6, 0, 15), , [0, 0, 0], (Up, Nothing)>
<(8, 0, 3), (6, 0, 15), , [0, 0, 0], (Up, Nothing)>
<(8, 0, 3), (6, 0, 15), , [0, 0, 0], (Up, Nothing)>
<(8, 0, 3), (6, 0, 15), , [0, 0, 0], (Up, Nothing)>
<(8, 0, 3), (6, 0, 15), , [0, 0, 0], (Up, Nothing)>
<(8, 0, 3), (6, 0, 15), , [0, 0, 0], (Up, Nothing)>
<(8, 0, 3), (6, 0, 15), , [0, 0, 0], (Up, Nothing)>
<(8, 0, 3), (6, 0, 15), , [0, 0, 0], (Nothing, Nothing)>
<(8, 0, 3), (6, 0, 15), , [0, 0, 0], (Nothing, Nothing)>
<(8, 0, 3), (6, 0, 15), , [0, 0, 0], (Nothing, Nothing)>
<(8, 0, 3), (6, 0, 15), , [0, 0, 0], (Nothing, Nothing)>
<(8, 0, 3), (6, 0, 15), , [0, 0, 0], (Nothing, Nothing)>
<(8, 0, 3), (6, 0, 15), , [0, 0, 0], (Nothing, Nothing)>
<(8, 0, 3), (6, 0, 15), , [0, 0, 0], (Nothing, Nothing)>
<(8, 0, 3), (6, 0, 15), , [0, 0, 0], (Nothing, Right)>
<(8, 0, 3), (6, 0, 15), , [0, 0, 0], (Press, Right)>
agent0 pressed button2
<(8, 0, 3), (6, 0, 15), , [0, 1, 0], (Nothing, Right)>
<(8, 0, 3), (6, 0, 15), , [0, 1, 0], (Nothing, Right)>
<(8, 0, 3), (6, 0, 15), , [0, 1, 0], (Nothing, Right)>
<(8, 0, 3), (6, 0, 15), , [0, 1, 0], (Nothing, Right)>
<(8, 0, 3), (7, 0, 15), , [0, 1, 0], (Nothing, Nothing)>
<(8, 0, 3), (7, 0, 15), , [0, 1, 0], (Nothing, Nothing)>
<(8, 0, 3), (7, 0, 15), , [0, 1, 0], (Nothing, Nothing)>
<(8, 0, 3), (7, 0, 15), , [0, 1, 0], (Nothing, Nothing)>
<(8, 0, 3), (7, 0, 15), , [0, 1, 0], (Nothing, Nothing)>
