<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Up)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Up)>
