<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Right)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Right)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Right)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Right)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Right)>
<(6, 0, 7), (4, 0, 9), , [0, 0], (Nothing, Right)>
<(6, 0, 7), (4, 0, 9), , [0, 0], (Nothing, Right)>
<(6, 0, 7), (4, 0, 9), , [0, 0], (Nothing, Right)>
<(6, 0, 7), (4, 0, 9), , [0, 0], (Nothing, Right)>
<(6, 0, 7), (4, 0, 9), , [0, 0], (Nothing, Right)>
<(6, 0, 7), (4, 0, 9), , [0, 0], (Nothing, Right)>
<(6, 0, 7), (4, 0, 9), , [0, 0], (Nothing, Right)>
<(6, 0, 7), (4, 0, 9), , [0, 0], (Nothing, Right)>
<(6, 0, 7), (4, 0, 9), , [0, 0], (Nothing, Right)>
<(6, 0, 7), (5, 0, 9), , [0, 0], (Nothing, Right)>
<(6, 0, 7), (5, 0, 9), , [0, 0], (Nothing, Right)>
<(6, 0, 7), (5, 0, 9), , [0, 0], (Nothing, Right)>
<(6, 0, 7), (5, 0, 9), , [0, 0], (Nothing, Right)>
<(6, 0, 7), (5, 0, 9), , [0, 0], (Nothing, Right)>
<(6, 0, 7), (5, 0, 9), , [0, 0], (Nothing, Right)>
<(6, 0, 7), (5, 0, 9), , [0, 0], (Left, Right)>
<(6, 0, 7), (5, 0, 9), , [0, 0], (Left, Right)>
<(6, 0, 7), (5, 0, 9), , [0, 0], (Left, Right)>
<(6, 0, 7), (6, 0, 9), , [0, 0], (Left, Right)>
<(5, 0, 7), (6, 0, 9), , [0, 0], (Left, Right)>
<(5, 0, 7), (6, 0, 9), , [0, 0], (Left, Right)>
<(5, 0, 7), (6, 0, 9), , [0, 0], (Left, Up)>
<(5, 0, 7), (6, 0, 9), , [0, 0], (Left, Up)>
<(5, 0, 7), (6, 0, 9), , [0, 0], (Left, Up)>
<(5, 0, 7), (6, 0, 9), , [0, 0], (Left, Up)>
<(5, 0, 7), (6, 0, 9), , [0, 0], (Left, Up)>
<(5, 0, 7), (6, 0, 9), , [0, 0], (Left, Up)>
<(5, 0, 7), (6, 0, 9), , [0, 0], (Left, Up)>
<(5, 0, 7), (6, 0, 10), , [0, 0], (Left, Up)>
<(5, 0, 7), (6, 0, 10), , [0, 0], (Left, Up)>
<(4, 0, 7), (6, 0, 10), , [0, 0], (Left, Up)>
<(4, 0, 7), (6, 0, 10), , [0, 0], (Left, Up)>
<(4, 0, 7), (6, 0, 10), , [0, 0], (Left, Up)>
<(4, 0, 7), (6, 0, 10), , [0, 0], (Left, Up)>
<(4, 0, 7), (6, 0, 10), , [0, 0], (Left, Up)>
<(4, 0, 7), (6, 0, 10), , [0, 0], (Left, Up)>
<(4, 0, 7), (6, 0, 10), , [0, 0], (Left, Up)>
<(4, 0, 7), (6, 0, 11), , [0, 0], (Left, Up)>
<(4, 0, 7), (6, 0, 11), , [0, 0], (Left, Up)>
<(4, 0, 7), (6, 0, 11), , [0, 0], (Left, Up)>
<(3, 0, 7), (6, 0, 11), , [0, 0], (Left, Nothing)>
<(3, 0, 7), (6, 0, 11), , [0, 0], (Left, Nothing)>
<(3, 0, 7), (6, 0, 11), , [0, 0], (Left, Nothing)>
<(3, 0, 7), (6, 0, 11), , [0, 0], (Left, Nothing)>
<(3, 0, 7), (6, 0, 11), , [0, 0], (Left, Nothing)>
<(3, 0, 7), (6, 0, 11), , [0, 0], (Left, Nothing)>
<(3, 0, 7), (6, 0, 11), , [0, 0], (Left, Nothing)>
<(3, 0, 7), (6, 0, 11), , [0, 0], (Left, Nothing)>
<(3, 0, 7), (6, 0, 11), , [0, 0], (Left, Press)>
agent1 pressed button2
<(3, 0, 7), (6, 0, 11), , [0, 1], (Left, Nothing)>
<(3, 0, 7), (6, 0, 11), , [0, 1], (Left, Nothing)>
<(3, 0, 7), (6, 0, 11), , [0, 1], (Left, Nothing)>
<(3, 0, 7), (6, 0, 11), , [0, 1], (Left, Nothing)>
<(3, 0, 7), (6, 0, 11), , [0, 1], (Down, Nothing)>
<(3, 0, 7), (6, 0, 11), , [0, 1], (Down, Nothing)>
<(3, 0, 7), (6, 0, 11), , [0, 1], (Down, Nothing)>
<(3, 0, 7), (6, 0, 11), , [0, 1], (Down, Nothing)>
<(3, 0, 7), (6, 0, 11), , [0, 1], (Down, Nothing)>
<(3, 0, 6), (6, 0, 11), , [0, 1], (Down, Nothing)>
<(3, 0, 6), (6, 0, 11), , [0, 1], (Down, Nothing)>
<(3, 0, 6), (6, 0, 11), , [0, 1], (Down, Nothing)>
<(3, 0, 6), (6, 0, 11), , [0, 1], (Down, Nothing)>
<(3, 0, 6), (6, 0, 11), , [0, 1], (Down, Nothing)>
<(3, 0, 6), (6, 0, 11), , [0, 1], (Down, Nothing)>
<(3, 0, 6), (6, 0, 11), , [0, 1], (Down, Nothing)>
<(3, 0, 6), (6, 0, 11), , [0, 1], (Down, Left)>
<(3, 0, 6), (6, 0, 11), , [0, 1], (Down, Left)>
<(3, 0, 5), (6, 0, 11), , [0, 1], (Down, Left)>
<(3, 0, 5), (6, 0, 11), , [0, 1], (Down, Left)>
<(3, 0, 5), (6, 0, 11), , [0, 1], (Down, Left)>
<(3, 0, 5), (5, 0, 11), , [0, 1], (Nothing, Left)>
<(3, 0, 5), (5, 0, 11), , [0, 1], (Nothing, Nothing)>
<(3, 0, 5), (5, 0, 11), , [0, 1], (Nothing, Nothing)>
<(3, 0, 5), (5, 0, 11), , [0, 1], (Nothing, Nothing)>
<(3, 0, 5), (5, 0, 11), , [0, 1], (Nothing, Nothing)>
<(3, 0, 5), (5, 0, 11), , [0, 1], (Nothing, Nothing)>
<(3, 0, 5), (5, 0, 11), , [0, 1], (Nothing, Up)>
<(3, 0, 5), (5, 0, 11), , [0, 1], (Nothing, Up)>
<(3, 0, 5), (5, 0, 11), , [0, 1], (Nothing, Up)>
<(3, 0, 5), (5, 0, 11), , [0, 1], (Nothing, Up)>
<(3, 0, 5), (5, 0, 11), , [0, 1], (Nothing, Up)>
<(3, 0, 5), (5, 0, 11), , [0, 1], (Nothing, Up)>
<(3, 0, 5), (5, 0, 11), , [0, 1], (Nothing, Up)>
<(3, 0, 5), (5, 0, 11), , [0, 1], (Nothing, Up)>
<(3, 0, 5), (5, 0, 12), , [0, 1], (Nothing, Up)>
<(3, 0, 5), (5, 0, 12), , [0, 1], (Nothing, Up)>
<(3, 0, 5), (5, 0, 12), , [0, 1], (Nothing, Up)>
<(3, 0, 5), (5, 0, 12), , [0, 1], (Nothing, Up)>
<(3, 0, 5), (5, 0, 12), , [0, 1], (Nothing, Up)>
<(3, 0, 5), (5, 0, 12), , [0, 1], (Nothing, Up)>
<(3, 0, 5), (5, 0, 12), , [0, 1], (Nothing, Up)>
<(3, 0, 5), (5, 0, 12), , [0, 1], (Nothing, Up)>
<(3, 0, 5), (5, 0, 12), , [0, 1], (Nothing, Up)>
<(3, 0, 5), (5, 0, 12), , [0, 1], (Nothing, Up)>
<(3, 0, 5), (5, 0, 12), , [0, 1], (Nothing, Up)>
<(3, 0, 5), (5, 0, 12), , [0, 1], (Press, Up)>
agent0 pressed button1
<(3, 0, 5), (5, 0, 12), , [1, 1], (Nothing, Nothing)>
<(3, 0, 5), (5, 0, 12), , [1, 1], (Nothing, Nothing)>
<(3, 0, 5), (5, 0, 12), , [1, 1], (Nothing, Nothing)>
<(3, 0, 5), (5, 0, 12), , [1, 1], (Nothing, Left)>
<(3, 0, 5), (5, 0, 12), , [1, 1], (Nothing, Left)>
<(3, 0, 5), (5, 0, 12), , [1, 1], (Nothing, Left)>
<(3, 0, 5), (5, 0, 12), , [1, 1], (Nothing, Left)>
<(3, 0, 5), (5, 0, 12), , [1, 1], (Nothing, Left)>
<(3, 0, 5), (5, 0, 12), , [1, 1], (Nothing, Left)>
<(3, 0, 5), (5, 0, 12), , [1, 1], (Nothing, Left)>
